,image_name,target,bg,face_name,method,image_id
0,fake_CW_cw-ahnji_3dmem_00001.jpg,1,0,cw-ahnji,4,00001
1,fake_CW_cw-ahnji_3dmem_00002.jpg,1,0,cw-ahnji,4,00002
2,fake_CW_cw-ahnji_3dmem_00003.jpg,1,0,cw-ahnji,4,00003
3,fake_CW_cw-ahnji_3dmem_00004.jpg,1,0,cw-ahnji,4,00004
4,fake_CW_cw-ahnji_3dmem_00005.jpg,1,0,cw-ahnji,4,00005
5,fake_CW_cw-ahnji_3dmem_00006.jpg,1,0,cw-ahnji,4,00006
6,fake_CW_cw-ahnji_3dmem_00007.jpg,1,0,cw-ahnji,4,00007
7,fake_CW_cw-ahnji_3dmem_00008.jpg,1,0,cw-ahnji,4,00008
8,fake_CW_cw-ahnji_3dmem_00009.jpg,1,0,cw-ahnji,4,00009
9,fake_CW_cw-ahnji_3dmem_00010.jpg,1,0,cw-ahnji,4,00010
10,fake_CW_cw-ahnji_3dmem_00011.jpg,1,0,cw-ahnji,4,00011
11,fake_CW_cw-ahnji_3dmem_00012.jpg,1,0,cw-ahnji,4,00012
12,fake_CW_cw-ahnji_dffs_00001.jpg,1,0,cw-ahnji,0,00001
13,fake_CW_cw-ahnji_dffs_00002.jpg,1,0,cw-ahnji,0,00002
14,fake_CW_cw-ahnji_dffs_00003.jpg,1,0,cw-ahnji,0,00003
15,fake_CW_cw-ahnji_dffs_00004.jpg,1,0,cw-ahnji,0,00004
16,fake_CW_cw-ahnji_dffs_00005.jpg,1,0,cw-ahnji,0,00005
17,fake_CW_cw-ahnji_dffs_00006.jpg,1,0,cw-ahnji,0,00006
18,fake_CW_cw-ahnji_dffs_00007.jpg,1,0,cw-ahnji,0,00007
19,fake_CW_cw-ahnji_dffs_00008.jpg,1,0,cw-ahnji,0,00008
20,fake_CW_cw-ahnji_dffs_00009.jpg,1,0,cw-ahnji,0,00009
21,fake_CW_cw-ahnji_dffs_00010.jpg,1,0,cw-ahnji,0,00010
22,fake_CW_cw-ahnji_dffs_00011.jpg,1,0,cw-ahnji,0,00011
23,fake_CW_cw-ahnji_dffs_00012.jpg,1,0,cw-ahnji,0,00012
24,fake_CW_cw-ahnji_dffs_00013.jpg,1,0,cw-ahnji,0,00013
25,fake_CW_cw-ahnji_dffs_00014.jpg,1,0,cw-ahnji,0,00014
26,fake_CW_cw-ahnji_dffs_00015.jpg,1,0,cw-ahnji,0,00015
27,fake_CW_cw-ahnji_dffs_00016.jpg,1,0,cw-ahnji,0,00016
28,fake_CW_cw-ahnji_dffs_00017.jpg,1,0,cw-ahnji,0,00017
29,fake_CW_cw-ahnji_dfl_00001.jpg,1,0,cw-ahnji,1,00001
30,fake_CW_cw-ahnji_dfl_00002.jpg,1,0,cw-ahnji,1,00002
31,fake_CW_cw-ahnji_dfl_00003.jpg,1,0,cw-ahnji,1,00003
