image_name,target
image_00000.jpg,0.252619
image_00001.jpg,0.818413
image_00002.jpg,0.9647324
image_00003.jpg,0.9263311
image_00004.jpg,0.99983823
image_00005.jpg,0.8991146
image_00006.jpg,0.9999993
image_00007.jpg,0.99999595
image_00008.jpg,0.99797755
image_00009.jpg,0.9825859
image_00010.jpg,0.9990108
image_00011.jpg,0.9999814
image_00012.jpg,0.88583773
image_00013.jpg,0.65447116
image_00014.jpg,0.9999461
image_00015.jpg,0.99893194
image_00016.jpg,0.99976546
image_00017.jpg,0.9766051
image_00018.jpg,0.9988293
image_00019.jpg,0.99999917
image_00020.jpg,0.99995935
image_00021.jpg,1.0
image_00022.jpg,0.99986815
image_00023.jpg,0.99999905
image_00024.jpg,0.9963952
image_00025.jpg,0.8895228
image_00026.jpg,0.99680436
image_00027.jpg,0.9996611
image_00028.jpg,0.9846799
image_00029.jpg,0.826688
image_00030.jpg,0.9999895
image_00031.jpg,0.9987923
image_00032.jpg,0.9495507
image_00033.jpg,0.9999553
image_00034.jpg,0.99998415
image_00035.jpg,0.093221635
image_00036.jpg,0.9977968
image_00037.jpg,0.9986744
image_00038.jpg,0.93892103
image_00039.jpg,0.89778495
image_00040.jpg,0.6299224
image_00041.jpg,0.9986229
image_00042.jpg,0.9986118
image_00043.jpg,0.9999914
image_00044.jpg,0.9999429
image_00045.jpg,0.99939144
image_00046.jpg,0.99827015
image_00047.jpg,0.96053314
image_00048.jpg,0.14365855
image_00049.jpg,0.98109424
image_00050.jpg,0.9963097
image_00051.jpg,1.0
image_00052.jpg,0.09195473
image_00053.jpg,0.12109525
image_00054.jpg,0.19532661
image_00055.jpg,0.9887066
image_00056.jpg,0.9770684
image_00057.jpg,0.9867068
image_00058.jpg,0.5665017
image_00059.jpg,0.43798682
image_00060.jpg,0.9998822
image_00061.jpg,0.9999105
image_00062.jpg,0.9999919
image_00063.jpg,0.99955505
image_00064.jpg,0.08835017
image_00065.jpg,0.24359706
image_00066.jpg,0.99129605
image_00067.jpg,0.99999654
image_00068.jpg,0.999793
image_00069.jpg,0.99741745
