,image_name,target,method,id,hand,finger_name
0,Dermalog_1_24_0_Fake_LEFT_INDEX_1.png,1,0,1_24_0,0,INDEX_1
1,Dermalog_1_24_0_Fake_LEFT_INDEX_2.png,1,0,1_24_0,0,INDEX_2
2,Dermalog_1_24_0_Fake_LEFT_INDEX_3.png,1,0,1_24_0,0,INDEX_3
3,Dermalog_1_24_0_Fake_LEFT_INDEX_4.png,1,0,1_24_0,0,INDEX_4
4,Dermalog_1_24_0_Fake_LEFT_INDEX_5.png,1,0,1_24_0,0,INDEX_5
5,Dermalog_1_24_0_Fake_LEFT_INDEX_6.png,1,0,1_24_0,0,INDEX_6
6,Dermalog_1_24_0_Fake_LEFT_LITTLE_1.png,1,0,1_24_0,0,LITTLE_1
7,Dermalog_1_24_0_Fake_LEFT_LITTLE_2.png,1,0,1_24_0,0,LITTLE_2
8,Dermalog_1_24_0_Fake_LEFT_LITTLE_3.png,1,0,1_24_0,0,LITTLE_3
9,Dermalog_1_24_0_Fake_LEFT_LITTLE_4.png,1,0,1_24_0,0,LITTLE_4
10,Dermalog_1_24_0_Fake_LEFT_LITTLE_5.png,1,0,1_24_0,0,LITTLE_5
11,Dermalog_1_24_0_Fake_LEFT_LITTLE_6.png,1,0,1_24_0,0,LITTLE_6
12,Dermalog_1_24_0_Fake_LEFT_MIDDLE_1.png,1,0,1_24_0,0,MIDDLE_1
13,Dermalog_1_24_0_Fake_LEFT_MIDDLE_2.png,1,0,1_24_0,0,MIDDLE_2
14,Dermalog_1_24_0_Fake_LEFT_MIDDLE_3.png,1,0,1_24_0,0,MIDDLE_3
15,Dermalog_1_24_0_Fake_LEFT_MIDDLE_4.png,1,0,1_24_0,0,MIDDLE_4
16,Dermalog_1_24_0_Fake_LEFT_MIDDLE_5.png,1,0,1_24_0,0,MIDDLE_5
17,Dermalog_1_24_0_Fake_LEFT_MIDDLE_6.png,1,0,1_24_0,0,MIDDLE_6
18,Dermalog_1_24_0_Fake_LEFT_RING_1.png,1,0,1_24_0,0,RING_1
19,Dermalog_1_24_0_Fake_LEFT_RING_2.png,1,0,1_24_0,0,RING_2
20,Dermalog_1_24_0_Fake_LEFT_RING_3.png,1,0,1_24_0,0,RING_3
21,Dermalog_1_24_0_Fake_LEFT_RING_4.png,1,0,1_24_0,0,RING_4
22,Dermalog_1_24_0_Fake_LEFT_RING_5.png,1,0,1_24_0,0,RING_5
23,Dermalog_1_24_0_Fake_LEFT_RING_6.png,1,0,1_24_0,0,RING_6
24,Dermalog_1_24_0_Fake_LEFT_THUMB_1.png,1,0,1_24_0,0,THUMB_1
25,Dermalog_1_24_0_Fake_LEFT_THUMB_2.png,1,0,1_24_0,0,THUMB_2
26,Dermalog_1_24_0_Fake_LEFT_THUMB_3.png,1,0,1_24_0,0,THUMB_3
27,Dermalog_1_24_0_Fake_LEFT_THUMB_4.png,1,0,1_24_0,0,THUMB_4
28,Dermalog_1_24_0_Fake_LEFT_THUMB_5.png,1,0,1_24_0,0,THUMB_5
29,Dermalog_1_24_0_Fake_LEFT_THUMB_6.png,1,0,1_24_0,0,THUMB_6
30,Dermalog_1_24_0_Fake_RIGHT_INDEX_1.png,1,0,1_24_0,1,INDEX_1
31,Dermalog_1_24_0_Fake_RIGHT_INDEX_2.png,1,0,1_24_0,1,INDEX_2
32,Dermalog_1_24_0_Fake_RIGHT_INDEX_3.png,1,0,1_24_0,1,INDEX_3
33,Dermalog_1_24_0_Fake_RIGHT_INDEX_4.png,1,0,1_24_0,1,INDEX_4
34,Dermalog_1_24_0_Fake_RIGHT_INDEX_5.png,1,0,1_24_0,1,INDEX_5
35,Dermalog_1_24_0_Fake_RIGHT_INDEX_6.png,1,0,1_24_0,1,INDEX_6
36,Dermalog_1_24_0_Fake_RIGHT_LITTLE_1.png,1,0,1_24_0,1,LITTLE_1
37,Dermalog_1_24_0_Fake_RIGHT_LITTLE_2.png,1,0,1_24_0,1,LITTLE_2
38,Dermalog_1_24_0_Fake_RIGHT_LITTLE_3.png,1,0,1_24_0,1,LITTLE_3
39,Dermalog_1_24_0_Fake_RIGHT_LITTLE_4.png,1,0,1_24_0,1,LITTLE_4
40,Dermalog_1_24_0_Fake_RIGHT_LITTLE_5.png,1,0,1_24_0,1,LITTLE_5
41,Dermalog_1_24_0_Fake_RIGHT_LITTLE_6.png,1,0,1_24_0,1,LITTLE_6
42,Dermalog_1_24_0_Fake_RIGHT_MIDDLE_1.png,1,0,1_24_0,1,MIDDLE_1
43,Dermalog_1_24_0_Fake_RIGHT_MIDDLE_2.png,1,0,1_24_0,1,MIDDLE_2
44,Dermalog_1_24_0_Fake_RIGHT_MIDDLE_3.png,1,0,1_24_0,1,MIDDLE_3
